market,asset,name,currency,action,previous_weight,target_weight,change_percentage_points
日本,JPY_CASH,円待機資金,JPY,一部売却,0.8,0.4,-40.0
日本,5301.T,東海カーボン,JPY,新規買い,0.0,0.06,6.0
日本,8750.T,第一生命ホールディングス,JPY,新規買い,0.0,0.0595961152,5.959612
日本,9147.T,NIPPON EXPRESSホールディングス,JPY,新規買い,0.0,0.0514329786,5.143298
日本,6098.T,リクルートホールディングス,JPY,新規買い,0.0,0.047966572,4.796657
日本,6724.T,セイコーエプソン,JPY,新規買い,0.0,0.0438343605,4.383436
日本,6971.T,京セラ,JPY,新規買い,0.0,0.0387265116,3.872651
日本,3086.T,J.フロント リテイリング,JPY,新規買い,0.0,0.0337152347,3.371523
日本,6532.T,ベイカレント,JPY,新規買い,0.0,0.0293262296,2.932623
日本,3697.T,SHIFT,JPY,新規買い,0.0,0.0223542284,2.235423
日本,6976.T,太陽誘電,JPY,新規買い,0.0,0.0130477693,1.304777
米国,BIL,BIL（米ドル待機資金）,USD,維持,0.149695273,0.149797694,0.010242
米国,TQQQ,TQQQ（レバレッジETF）,USD,維持,0.0353709993,0.035314184,-0.005682
米国,SOXL,SOXL（レバレッジETF）,USD,維持,0.0149337277,0.014888122,-0.004561
